Category,Organization / Business Name,Type,Contact Person,Email,Phone,Website,Service Area,Capabilities / Keywords,Verification Tier,Notes,Source(s),Seed Source
Consulting,Cannabis Cash Consultants,Business,Jennifer Makris — Founder,info@cannabiscashconsultants.com,1-833-343-2274,https://cannabiscashconsultants.com/,Statewide / Multi-Market,Consulting,Source-verified,"Current first-party site confirms Jennifer Makris as founder and supplies a direct organizational email, phone, intake form and booking route for dispensary cash-management work.",https://cannabiscashconsultants.com/ | https://ochbs.com/speakers/,"Organizations | Speakers | Batch 1 audit, 2026-08-15; source pages retrieved and reviewed | Consulting outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed"
Accounting & Tax,Cannabis CPA Tax,Business,Bruce Andersen — Founder & Principal,Bruce@CannabisCPA.tax,818-225-8022,https://cannabiscpa.tax/,"19 states plus Washington, D.C.",Accounting; Tax,Source-verified,"NUMERICAL CORRECTION, downward: this workbook recorded 25+ states; the current first-party site says clients in 19 states plus Washington, D.C. Figure corrected to match the source.",https://cannabiscpa.tax/ohio-cannabis-tax-guide-2025-edition/ | https://cannabiscpa.tax/contact/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 8 audit, 2026-08-15; source pages retrieved and reviewed"
Marketing & Media,Cannabis Creative Group,Business,Seth Worby — Co-Founder,info@cannabiscreative.com,855-420-1812,https://cannabiscreative.com/services/,United States; Ohio client work confirmed,Marketing / Media,Source-verified,"Direct Ohio evidence reconfirmed: Cannabis Creative Group publishes a current Pure Ohio Wellness portfolio case study, and Pure Ohio Wellness's current site footer credits Cannabis Creative. Pure Ohio Wellness is also in this Directory.",https://cannabiscreative.com/portfolio/pure-ohio-wellness/ | https://pureohiowellness.com/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 4), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed"
Out of scope — flagged for removal or separate list,Cannabis Engineering + Compliance (CE+C),Business,Ben Roush — Principal,info@canngineers.com,206-385-3417,https://canngineers.com/,United States; no verified current Ohio project or Ohio PE coverage,Real Estate / Build-Out; Architecture / Engineering,Source-verified,"Moved to the retained separate-list/out-of-scope bucket after Ohio-referral review. Current first-party pages confirm an active cannabis engineering practice led by Ben Roush, 65+ cannabis projects and direct phone/email/form routes. Its published portfolio identifies projects in other states but no Ohio project/client, and no explicit Ohio professional-engineering coverage was found. Preserve as a national reference; do not present as Ohio-referral-safe until a current Ohio project or applicable Ohio licensure is documented.",https://canngineers.com/about-us/ | https://canngineers.com/projects/ | https://canngineers.com/contact/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15 | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | v67-RE2 Real Estate / Build-Out disposition pass, 2026-08-23; first-party portfolio and contact pages retrieved and reviewed"
Real Estate / Build-Out,Cannabis Facility Construction (CFC),Business,Andy Poticha — Founder & CEO,info@cannabisfacility.net,847-504-0177,https://cannabisfacility.net/,National; 14 states documented,Real Estate / Build-Out; Construction / Build-Out,Source-verified,"Ohio issue effectively resolved: CFC is a current national cannabis design/build firm and has publicly documented a Cincinnati cannabis dispensary project. Title upgraded. Stated carefully — the documented project establishes Ohio relevance without implying completion status, which was not confirmed. Documented client relationship: Ascend Wellness Holdings — CFC stated in November 2023 that it had constructed 14 Ascend/AWH dispensaries, including an upcoming Cincinnati, Ohio location. Ascend's Cincinnati dispensary (830 Reedy Street) is now operating, but no later source was located confirming CFC specifically completed that store — recorded as a confirmed CFC/AWH relationship with the Cincinnati project as planned/documented rather than confirmed-completed.",https://cannabisfacility.net/who-we-are/ | https://cannabisfacility.net/request-a-consultation/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 3), 2026-08-16; source pages retrieved and reviewed"
Consulting,Cannabis Global Consultants,Business,"David Hyde — Founder/Partner, Cannabis Global Consultants; Managing Director, CannaNavigators",info@cannabisglobalconsultants.com,,https://www.cannabisglobalconsultants.com/,United States and international,Consulting; Regulatory Compliance; Staffing / Recruiting; Employee Training,Source-verified,"Global consulting team organized through four specialized firms, including Hyde Advisory and CannaNavigators, covering licensing, compliance, facility planning, operations, financial modeling, staffing, training, marketing and expansion.",https://www.cannabisglobalconsultants.com/our-company | https://www.cannabisglobalconsultants.com/,"Research pass — 2026-08-14; source pages retrieved and reviewed; Batch 10 audit — 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 10, from v53 queue), 2026-08-16; source pages retrieved and reviewed"
Security & Cash Logistics,Cannabis Safety First LLC,Business,Tim Johnson — Founder & CEO,timj.cannabissafetyfirst@gmail.com,614-736-1861,https://www.cannabissafetyfirst.com/,Central Ohio,Security / Cash Logistics,Source-verified,"Cannabis security consulting, safety training, risk management, government affairs, policy advising, and patient/veteran advocacy. The official site identifies Tim Johnson as founder and documents his work with Ohio legislators, cannabis licensees, and regulators. Merged from the separate ""Cannabis advocacy"" warm-contact row, which was the same person; that row's Expo panel-participation provenance is preserved here.",https://www.bbb.org/us/oh/hilliard/profile/security-consultant/cannabis-safety-first-llc-0302-70096402 | https://www.ohiocannabisexpo.com/,Organizations | Warm Contacts | Research cleanup — 2026-08-14; source pages retrieved and reviewed
Marketing & Media,Cannabis Websites & SEO,Business,,info@cannabiswebsites.com,844-674-0995,https://cannabis-websites.com/cannabis-seo-strategy-ohio/,Ohio statewide / North America,Marketing / Media; SEO / Search,Source-verified,Current first-party Ohio cannabis SEO page explicitly establishes Ohio availability. Vendor performance metrics and regulatory prose are marketing context only and are not treated as independently validated results or current Ohio law.,https://cannabis-websites.com/cannabis-seo-strategy-ohio/,"Research pass — 2026-08-14 | Batch 9 audit, 2026-08-15 | Pass 1 research (round 9, from v52 queue), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed"
Out of scope — flagged for removal or separate list,CannabisComplianceOhio,Business,,contact@cannabiscomplianceohio.com,,https://cannabiscomplianceohio.com/,Ohio statewide (self-published),Excluded Lead; Compliance Training; Regulatory Education,Source-verified,"Moved out of the active provider categories. The live Ohio-specific education site publishes no identifiable owners, instructors or credentials and makes extensive self-reported experience and results claims without independent support. Retain only as a research lead; do not recommend it as vetted compliance training or use it as authoritative current Ohio regulatory guidance.",https://www.cannabiscomplianceohio.com/ | https://www.cannabiscomplianceohio.com/best-practices,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15 | Pass 1 research (round 5), 2026-08-16; source pages retrieved and reviewed | Legal & Accounting issue-resolution pass, 2026-08-22; source pages retrieved and reviewed"
Insurance,CannabisInsurance.com / 420Insurance.com — Kulchin Ross Insurance Services,Business,"Derek Ross — President & COO, Kulchin Ross Insurance Services",info@420insurance.com,877-420-0042 | 818-996-0900,https://cannabisinsurance.com/,United States / nationwide,Insurance,Source-verified,"CannabisInsurance.com / 420Insurance.com is associated with Kulchin Ross Insurance Services. Current first-party material confirms the existing 877-420-0042 and 818-996-0900 numbers, Tarzana address, nationwide operation and 420Insurance quote routing. Keep this entity separate from The Cannabis Insurance Company / CIS Insurance Services, LLC of Colorado, which is a different business. Independently re-verified across Forbes Advisor, Insurance Journal and Kulchin Ross's own site. This is the entity separated out from an earlier conflated ""Cannabis Insurance Company"" record in this Directory — getting this one right matters given that correction history.",https://cannabisinsurance.com/,"Split from combined record — Batch 4 audit, 2026-08-15; Batch 11 audit — 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 12, final), 2026-08-16; source pages retrieved and reviewed"
Marketing & Media,Cannabiz Marketing Solutions / DopeSEO,Business,Max Juhasz — Founder & CEO,hello@dopeseo.com,214-888-4364,https://dopeseo.com/contact/,United States nationwide,Marketing / Media; SEO / Search,Source-verified,"Flag cleared: its current service-area navigation explicitly includes Ohio Cannabis SEO, so Ohio availability is settled. Extensively corroborated across podcasts, conference speaker pages and an MITA member profile — stronger than the 'Reported' confidence this was returned with. OUTREACH ROUTE (2026-08-23): current official contact and 2026 policy pages publish hello@dopeseo.com and 214-888-4364.",https://dopeseo.com/services/ | https://dopeseo.com/contact/ | https://dopeseo.com/sms-terms/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 4), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed | Marketing & Media outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed"
Staffing & HR,CannabizTeam,Business,Liesl Bernard — Founder & CEO,contact@cannabizteam.com,,https://cannabizteam.com/,Nationwide,Staffing / HR; Staffing / Recruiting,Source-verified,Contact confirmed current; firm reports cannabis staffing activity across roughly 30 states.,https://cannabizteam.com/contact-us/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed"
Out of scope — flagged for removal or separate list,CannaCard,Business,,support@cannatrac.com,708-671-8462,https://www.thecannacard.com/,United States; no verified current Ohio operator/client,Banking / Financial Services; Payments / Merchant Services,Source-verified,"Moved to separate-list/out-of-scope after current referral-safety review. The provider self-describes a FinCEN-aligned ACH/reloadable-card model and identifies ValidFi for bank-account verification, but public merchant availability is available only inside its app. No current Ohio merchant/client or full sponsor/acquirer/payment architecture was found; the record is retained only as a national reference.",https://www.thecannacard.com/ | https://thecannacard.com/consumers | https://www.thecannacard.com/contact-support,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 8 audit, 2026-08-15 | Pass 1 research (round 7, from v50 queue), 2026-08-16; source pages retrieved and reviewed | Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed | Banking & Financial Services disposition pass, 2026-08-23; source pages retrieved and reviewed"
Marketing & Media,CannaContent,Business,Stella Morrison — Founder & Content Strategist,hello@cannacontent.co,800-445-3212,https://cannacontent.co/services/,Ohio-serving; remote services,Marketing / Media,Source-verified,"Flag cleared — much better supported than the earlier flag suggested. CannaContent has a dedicated Ohio presence and publishes an Ohio client testimonial from Melissa Merse of Ascension Biomedical, which is also an entry in this Directory. Documented current Ohio client relationship: Ascension BioMedical — an April 2026 first-party testimonial from Melissa Merse, Ascension's Managing Partner for Retail & Marketing, describes CannaContent improving brand recognition and engagement; CannaContent's own Ohio page repeats Ascension as a client. Ascension BioMedical is also an entry in this Directory. Also confirmed: a client testimonial from Ethos Cannabis's former VP of Marketing, describing a similar educational-content partnership — Ethos is also an entry in this Directory.",https://cannacontent.co/services/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 4), 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 3), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed"
Technology,CannaHub,Business,Dominick Gaitan — VP of Strategy | Bill Henslee — Co-founder / CEO,sales@e2btek.com,440-352-4700,https://cannahub.io/,"Mentor, Ohio; serves cannabis operators",Technology; Metrc / Track-and-Trace; Data / Analytics; Regulatory Compliance,Source-verified,"Centralized cannabis data warehouse integrating operational, financial, compliance, and METRC data; developed by e2b teknologies.",https://cannahub.io/about-cannahub/ | https://ochbs.com/speakers/,"Original expo CRM | Research cleanup — 2026-08-14; QA'd 2026-08-14 | Batch 2 audit, 2026-08-15; source pages retrieved and reviewed | Technology audit, 2026-08-22; source pages retrieved and reviewed"
Technology,CannaLnx (EM2P2),Business,Gennaro Luce — CEO,info@em2p2.com,440-258-2322,https://www.cannalnx.com/,"Cleveland, Ohio; nationwide medical-cannabis platform",Technology; Digital Health; Medical Cannabis; Data / Analytics,Source-verified,"Cleveland-based digital-health platform connecting patients, medical professionals, dispensaries and other medical-cannabis participants through registry, communications, transaction and reporting tools. HIPAA-compliance and reimbursement statements are company/vendor claims unless independently validated.",https://www.cannalnx.com/en/home/mission | https://www.em2p2.com/cannalnx-platform | https://www.em2p2.com/about | https://www.businesswire.com/news/home/20251022271747/en/CannaLnx-an-EM2P2-Service-Launches-the-First-Digital-Health-Care-Platform-Connecting-Consumers-with-Medical-Cannabis-Reimbursement,"Technology audit, 2026-08-22; source pages retrieved and reviewed"
Consulting,CannaPath Consulting,Business,Nate Podrid,nate@cannapathconsulting.com,,https://cannapathconsulting.com/,United States and Canada; project experience across 15 states,Consulting; Employee Training,Source-verified,"Site selection, municipal approvals, licensing, retail facility and workflow design, seed-to-sale setup, SOPs, training, inventory controls and mock inspections; current site reports experience across 15 states.",https://cannapathconsulting.com/contact/ | https://cannapathconsulting.com/,Research pass — 2026-08-14; source pages retrieved and reviewed; Batch 10 audit — 2026-08-15; source pages retrieved and reviewed
Marketing & Media,CannaPlanners,Business,Will Read — Founder + CEO,info@cannaplanners.com,802-923-9800,https://cannaplanners.com/get-started,United States; Ohio client work confirmed (Klutch Cannabis),Marketing / Media; SEO / Search; Branding / Design,Source-verified,Ohio issue cleared cleanly: CannaPlanners has a documented Klutch Cannabis case study covering web design and SEO. Klutch is an Ohio operator already in this Directory — another cross-corroborated relationship. Documented current client relationship: Klutch Cannabis (also in this Directory) — CannaPlanners is credited as Klutch's current website/digital development provider. OUTREACH ROUTE (2026-08-23): the current official Get Started page publishes info@cannaplanners.com and 802-923-9800.,https://cannaplanners.com/who-are-you/existing-dispensary | https://cannaplanners.com/get-started,"Research pass — 2026-08-14 | Batch 9 audit, 2026-08-15 | Pass 1 research (round 9, from v52 queue), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed | Marketing & Media outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,CannAscend Ohio Processing,Business,"Lee Ann Evans — SVP, Capital Markets (parent-company ownership contact)",investor@cannabistcompany.com,,https://www.cannabistcompany.com/contact-us,"Ohio — active dual-use processor; 100 Davids Drive, Wilmington (CCP000060-00)",Cannabis Operator; Processing,Source-verified,"Ownership reconciled. The current Ohio DCC roster lists CannAscend Ohio Processing, LLC as an active dual-use processor at 100 Davids Drive, Wilmington under CCP000060-00. A February 5, 2026 Ohio Attorney General filing explicitly identifies The Cannabist Company as owning and operating this processor; Gould/Green Light Acquisitions is therefore historical and no longer used as the current outreach route. Cannabist agreed on March 23, 2026 to sell its Ohio operating subsidiaries to Holistic Industries for $47 million, but the transaction remained subject to court approval and customary closing conditions, no closing announcement was found as of 2026-08-23, and the announced entity list did not separately name this processor. Current parent remains Cannabist; Holistic is a pending acquirer only.",https://com.ohio.gov/divisions-and-programs/cannabis-control/about-dcc/licenses/cultivators-processors/processor-licenses | https://www.ohioattorneygeneral.gov/Files/Briefing-Room/News-Releases/State-of-Ohio-v-Ascend-Wellness-et-al.aspx | https://investors.cannabistcompany.com/news-releases/news-release-details/cannabist-company-expands-ohio-footprint-opening-cannabist-saint | https://investors.cannabistcompany.com/news-releases/news-release-details/cannabist-company-announces-strategic-transactions-and-initiates | https://www.cannabistcompany.com/contact-us,"Split from combined record — Batch 2 audit, 2026-08-14; source pages retrieved and reviewed | Batch 11 audit — 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 12, final), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed | Operator outreach-enrichment pass, 2026-08-22; source pages retrieved and reviewed; ownership conflict flagged | CannAscend ownership reconciliation pass, 2026-08-23; DCC, state and first-party source pages retrieved and reviewed"
Insurance,Cannaspace Insurance Group,Business,,Support@CannaspaceInsuranceGroup.com,754-246-2410,https://cannaspaceinsurancegroup.com/pages/contact-us,All U.S. states,Insurance,Source-verified,"Ohio availability cleared: first-party contact page states the company works in every state, and the listed email and phone are current. Specific carrier/product appetite can still vary by risk, but that is normal underwriting variation, not an Ohio-availability question. No individual applies — small agency; publishes only its organizational support/quote route.",https://cannaspaceinsurancegroup.com/pages/contact-us,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 2), 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed"
Legal & Licensing,Cannaspire,Business,Warren Harasz — Chief Compliance Officer,welcome@cannaspire.com,,https://cannaspire.com/,United States and international,Legal; Licensing; Regulatory Compliance,Source-verified,Cannabis compliance/licensing consultancy confirmed; current multi-jurisdiction practice.,https://cannacon.org/seminar-location/midwest-st-paul-2025/ | https://cannaspire.com/about/who-we-are/,"Organizations | Speakers | Batch 2 audit, 2026-08-14; source pages retrieved and reviewed"
Insurance,Cannasure Insurance Services (One80 Intermediaries),Business,Jim McErlean — Business Development Manager,info@cannasure.com,"800-420-5757 (general); 424-400-5053 (McErlean direct, per current company overview)",https://www.one80.com/programs/cannabis/cannasure/,Ohio and nationwide,Insurance,Source-verified,"Cleveland HQ and McErlean's role confirmed current. The older 602-363-6652 number carried in an earlier pass was replaced: a newer company overview gives his direct as 424-400-5053, with 800-420-5757 as the general line.",https://www.one80.com/programs/cannabis/cannasure/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed"
Packaging & Labeling,CannaZip,Business,Davis Tiburzi — CEO,orders@cannazipbags.com,,https://cannazipbags.com/contact/,Statewide / Multi-Market,Packaging / Labeling,Source-verified,Own site (cannazipbags.com) sells cannabis packaging bags — category is direct from source URL.,https://cannacon.org/seminar-location/midwest-lansing-2025/,"Organizations | Speakers | Batch 2 audit, 2026-08-15; source pages retrieved and reviewed"
Consulting,CannDelta,Business,Dr. Sherry Boodram — CEO & Co-Founder,,1-877-274-6777,https://canndelta.com/us/ohio/,Ohio statewide,Consulting; Regulatory Compliance; Employee Training,Source-verified,"Ohio licensing, regulatory compliance, business operations, SOP development, staff training and technical support for cannabis operators.",https://canndelta.com/us/ohio/,"Research pass — 2026-08-14; source pages retrieved and reviewed; Batch 10 audit — 2026-08-15; source pages retrieved and reviewed; vendor verified; Ohio page contains dated 2024 dual-license chronology — do not cite as current Ohio law | Pass 1 research (round 10, from v53 queue), 2026-08-16; source pages retrieved and reviewed"
Insurance,CannGen Insurance Services,Business,Erin Bentley — CEO (also: Cameron Ward — SVP of Business Development),ebentley@canngenins.com,888-751-3141,https://www.canngenins.com/,All U.S. states,Insurance,Source-verified,Current cannabis-dedicated insurance program serving all U.S. states.,https://www.canngenins.com/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 2), 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Canopy Growth / Acreage,Business,Patrick Corrigan — Manager of Strategic Initiatives,media@acreageholdings.com | press@acreageholdings.com,,https://www.acreageholdings.com/contact-us/,Statewide / Multi-Market,Cannabis Operator,Source-verified,"Current Acreage organizational media/press routes added. Patrick Corrigan's direct address is not publicly posted; use the company route and name him in the inquiry. Retail location contacts are maintained separately on row 119, The Botanist (Acreage Holdings); leave the corporate phone blank.",https://www.acreageholdings.com/contact-us/ | https://ochbs.com/speakers/,"Organizations | Speakers | Batch 1 audit, 2026-08-15; source pages retrieved and reviewed | Operator outreach-enrichment pass, 2026-08-22; source pages retrieved and reviewed"
Staffing & HR,CanopyHR,Business,,,833-463-6068,https://canopyhrsolutions.com/,United States; multi-state cannabis operations; Ohio client not publicly identified,Staffing / HR; Human Resources; Payroll,Source-verified,"Current cannabis-focused HR, payroll, benefits and compliance provider that explicitly describes multi-state compliance expertise. Retained as a national specialist, but no Ohio engagement is asserted. Public site remains thin and includes placeholder testimonial copy, so no client identities or leadership names are carried forward.",https://canopyhrsolutions.com/ | https://canopyhrsolutions.com/about-us/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15 | Pass 1 research (round 5), 2026-08-16; source pages retrieved and reviewed | Staffing & HR issue-resolution pass — 2026-08-22; current first-party company and about pages retrieved and reviewed"
Banking & Financial Services,CanPay,Business,Dustin Eide — Founder & CEO,info@canpaydebit.com,Merchant Support: 888-395-4992,https://www.canpaydebit.com/,Ohio | United States,Banking / Financial Services,Source-verified,"Current first-party Ohio directory and Citizen by Klutch acceptance page confirm active Ohio availability. CanPay is an account-to-account debit/payment service, not a deposit institution.",https://www.canpaydebit.com/ohio-canpay-dispensaries/ | https://www.canpaydebit.com/does-citizen-by-klutch-accept-canpay/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 8 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 7, from v50 queue), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed"
Out of scope — flagged for removal or separate list,Carbtrol,Business,Chris Rotondo — President,info@carbtrol.com,800-242-1150,https://www.carbtrol.com/industries/cannabis-odor-control-dispensary/,United States and Canada; no verified current Ohio cannabis deployment,Odor Mitigation; Ventilation / Air Filtration; Dispensary / Retail,Source-verified,"Moved to the retained separate-list/out-of-scope bucket after Ohio-referral review. Carbtrol remains a current U.S. manufacturer of cannabis-facility and dispensary odor-control systems; current first-party pages confirm Chris Rotondo as President, a direct inquiry form, phone and U.S./Canada freight availability. No current Ohio cannabis operator, facility or deployment was found. Product shipping availability is not treated as Ohio cannabis project evidence. Preserve as a national reference; do not present as Ohio-referral-safe without current Ohio evidence.",https://www.carbtrol.com/industries/cannabis-odor-control-dispensary/ | https://www.carbtrol.com/staff_members/,"Facility & EHS gap research — 2026-08-16; source pages retrieved and reviewed | Pass 1 research (round 12, final), 2026-08-16; source pages retrieved and reviewed | Technology audit, 2026-08-22; source pages retrieved and reviewed | v67-TECH2 Technology disposition pass, 2026-08-23; first-party cannabis product, leadership and contact pages retrieved and reviewed"
Legal & Licensing,Catalyst BC,Business,Leif Olsen — Co-Founder & CMO (Managing Partner),info@catalyst-bc.com,303-305-3787,https://catalyst-bc.com/ohio-cannabis-consulting/,Ohio statewide,Legal; Licensing; Regulatory Compliance; HVAC / Climate Control; Dehumidification,Source-verified,"GOOD VENDOR, UNRELIABLE REGULATORY SOURCE — same pattern as BLAZE. The Ohio consulting offering is real and the company is confirmed. But its current Ohio page still states that recreational cannabis is prohibited, which is plainly stale in 2026. Do not cite that page for current Ohio law. TITLE CORRECTED: the batch reported Olsen as ""Chief Executive Officer,"" but every independent source checked — Catalyst's own team page, Crunchbase, CannaCon's speaker bio and ACCCE — consistently describes him as Co-Founder, Managing Partner and CMO, never CEO. Used the corroborated title.",https://catalyst-bc.com/ohio-cannabis-consulting/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 5), 2026-08-16; source pages retrieved and reviewed"
Accounting & Tax,CBIZ,Business,Flo Federman — National Marketing Director,flo.federman@cbiz.com,631-414-4299,https://www.cbiz.com/locations/cleveland-downtown-ohio,Statewide / Multi-Market,Accounting; Tax,Source-verified,Cannabis tax/accounting work confirmed; Flo Federman — National Marketing Director.,https://www.cannabismarketspotlight.com/ohiovalley | https://www.cbiz.com/events/cbiz-new-york-construction-summit,"IgniteIt Network | Organizations | Batch 2 audit, 2026-08-14; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Certified Cultivators,Business,Adam Redding — Irrigation and IPM Manager,info@certifiedcultivators.com,937-741-2420,https://www.certifiedcultivators.com/contact,Central Ohio; Dayton / Miami Valley,Cannabis Operator; Cultivation,Source-verified,Angela Hamilton no longer presented as Certified's sales/marketing contact — she now surfaces with UpLift and shouldn't be attributed to Certified without another source.,https://certifieddispensary.com/terms-conditions/ | https://ochbs.com/speakers/,"Organizations | Speakers | Batch 1 audit, 2026-08-14; source pages retrieved and reviewed"
Consulting,"Certified Environmental, Inc.",Business,,ceitcramer@aol.com,419-884-2123,https://certifiedenvironmental.net/,"Mansfield, Ohio",Indoor Air Quality; Mold / Microbial Assessment; Industrial Hygiene; EHS / OSHA / EPA; Employee Training,Source-verified,"Ohio environmental and industrial-hygiene firm offering indoor-air-quality and mold assessment, environmental management systems and HAZWOPER training. Current first-party site and a 2023 Mansfield project report support active Ohio work. No cannabis-specific practice is published; included as a horizontal capability. Official company contact route retained.",https://certifiedenvironmental.net/ | https://certifiedenvironmental.net/id1.html | https://www.richlandsource.com/wp-content/uploads/2024/02/Final-GPR-Subsurface-Investigation-Report-Former-YMCA-Site-AO-1-Sep-23.pdf,"Facility & EHS gap research — 2026-08-16; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | Consulting issue-resolution pass — 2026-08-22; current first-party site and Ohio project evidence retrieved and reviewed"
Banking & Financial Services,Chicago Atlantic,Business,Steven Ernest — Head of Originations,info@chicagoatlantic.com,,https://www.refi.reit/about-us/,United States,Banking / Financial Services; Lending / Financing,Source-verified,Current parent-platform pages confirm Chicago Atlantic’s cannabis-focused private-credit strategy and Steven Ernest as Head of Originations. The current contact page accepts capital-raising inquiries and publishes info@chicagoatlantic.com as the organizational route. Retained as a national lender; no operator-specific banking relationship is published.,https://www.refi.reit/about-us/ | https://www.chicagoatlantic.com/ | https://www.chicagoatlantic.com/our-team/ | https://www.chicagoatlantic.com/contact/,"Organizations | Speakers | Batch 2 audit, 2026-08-14; source pages retrieved and reviewed | Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed | Banking & Financial Services outreach-enrichment pass, 2026-08-23; direct organizational inbox verified"
Cultivator / Processor / Dispensary,Cielo Jardin / Treehaus / CJ's (Heylo),Business,Lo Friesen — Founder / CEO,,206-532-5444,https://www.heylocannabis.com/contact,"Euclid, Ohio cultivation; Parma, Ohio CJ's dispensary pre-opening; Heylo/Treehaus roots in Washington",Cannabis Operator; Cultivation; Dispensary / Retail,Source-verified,Cielo Jardin is the Ohio operating entity founded by Heylo/Treehaus founder Lo Friesen. Its active Euclid cultivator credential CCC000040-00 supports Treehaus flower and vapes in Ohio. Current 2026 speaker materials and Parma hiring identify the planned retail brand as CJ's; CCD000201-00 at 7385 State Rd remains provisional/pre-opening and is not counted as an operating storefront. The published phone/contact route remains Heylo corporate rather than an Ohio storefront line.,"https://www.heylocannabis.com/contact | https://www.heylocannabis.com/ | https://www.treehaus.com/ | https://www.cannabismarketspotlight.com/ohiovalley/speaker/2064636/lo-friesen | Ohio DCC Current Roster, Cielo Jardin LLC / CCC000040-00 and CCD000201-00","IgniteIt Network | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Operator outreach-enrichment pass, 2026-08-22; source pages retrieved and reviewed | DCC legal-entity → trade-name mapping Batch 2, 2026-08-23; source pages retrieved and reviewed; roster-verified"
