Organization A,Organization B / Counterparty,Relationship Type,Project / Geography,Status,Evidence Summary,Directory Row Source(s) — row-level context,Directory Row,Pass / Provenance,Counterparty Status
Pio Custom Cabinetry,BLOC Dispensary,Commercial millwork / fixtures,Location unspecified,Documented client experience,Pio lists BLOC among dispensary brands it has worked with; used only as supporting lineage context for the unresolved BLOC/Feel State question.,https://pioww.com/industries/dispensaries | https://pioww.com/contact,277,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed",Relationship-only
CLC Design Studio,Restore Integrative Wellness Center,Dispensary design / feasibility,"Planned 4,700 SF Ohio project",Historical project; operating status unconfirmed,CLC documents a Restore | Ohio design project; no evidence in the Directory that the planned Ohio store became licensed/operational.,https://clcdesignstudio.com/about-clc-design-studio/ | https://clcdesignstudio.com/contact/,279,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed",Relationship-only
Allspace,Curaleaf Ohio,Retail fixtures / millwork,Geography unspecified,Documented client experience,Allspace lists Curaleaf among representative cannabis-retail client experience.,https://goallspace.com/cannabis-retail,278,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed",Y
Allspace,Verano / Zen Leaf,Retail fixtures / millwork,Geography unspecified,Documented client experience,Allspace lists Zen Leaf among representative cannabis-retail client experience.,https://goallspace.com/cannabis-retail,278,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed",Y
POINT BRAND Marketing Agency,The Botanist (Acreage Holdings),Digital strategy / replatform lead,Multi-state rebuild with Ohio applicability,Current,Dutchie's case study identifies POINT BRAND as strategy/replatform lead for The Botanist rebuild.,https://www.pntbrand.com/ | https://dutchie.com/business/cannabis-retail-case-studies-customer-stories/the-botanist-e-commerce-pro-replatform-49-new-customers,451,"Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed | Marketing & Media outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed",Y
LeafBridge,The Botanist (Acreage Holdings),Website development / e-commerce integration,Multi-state rebuild with Ohio applicability,Current,Dutchie's case study identifies LeafBridge as development/backbone for The Botanist rebuild.,https://leafbridge.io/ | https://leafbridge.io/contact/ | https://leafbridge.io/privacy/ | https://dutchie.com/business/ecommerce/ecommerce-pro,452,"Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed | Technology audit, 2026-08-22; source pages retrieved and reviewed | Technology outreach enrichment, 2026-08-23; form-only intake verified",Y
Verkada,Buckeye Relief,Physical security / video / access control,Eastlake cultivation facility and Ohio Amplify dispensaries,Confirmed current deployment,"Verkada's current case study documents Buckeye Relief's use of cameras, alarms, access control, air-quality sensors, the Command platform and a viewing station across its cultivation operation and dispensaries.",https://www.verkada.com/customers/buckeye-relief/ | https://www.verkada.com/contact/,499,"Security & Cash Logistics pass, 2026-08-22; source pages retrieved and reviewed",Y
Community Choice Credit Union,Tru Treasury,Treasury management platform partnership,Ohio cannabis business services,Current — first-party disclosed,"Community Choice's current Ohio cannabis page says it partners with Tru Treasury for payables, receivables, fraud prevention and liquidity management.",https://www.communitychoicecu.com/ohio-cannabis-business-services/,6,"IgniteIt Network | Organizations | Batch 1 audit, 2026-08-14; source pages retrieved and reviewed | Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed",Relationship-only
Dama Financial (LeafLink Financial Services),OMB Bank; First Option Bank; Dart Bank,Banking-services partners / deposit institutions,United States cannabis banking,Current — first-party disclosed,LeafLink/Dama's current footer identifies these three FDIC-member banks as banking-services partners; the purchasing card is issued by First Option Bank.,https://www.leaflink.com/banking | https://www.leaflink.com/contact-us/ | https://www.leaflink.com/banking/faqs/ | https://www.leaflink.com/press/leaflink-acquires-leading-cannabis-banking-platform-dama-financial/,284,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 7, from v50 queue), 2026-08-16; source pages retrieved and reviewed | Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed | Banking & Financial Services outreach-enrichment pass, 2026-08-23; direct banking-sales inbox verified",Relationship-only
Paybotic Financial,Regent Bank,Banking-services partner / deposit institution,United States / Ohio program,Current — first-party disclosed,"Paybotic Financial's current footer says banking services are provided by Regent Bank, Member FDIC; Paybotic is a fintech, not a bank.",https://payboticfinancial.com/ | https://paybotic.com/markets/ohio/,289,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 8 audit, 2026-08-15; source pages retrieved and reviewed | Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed",Relationship-only
Range Marketing,Amplify,Website design / digital marketing,Ohio — Amplify dispensary website,Current — first-party storefront disclosure,Amplify's current website footer credits Range Marketing for site design; Range's current cannabis page confirms dispensary-focused digital marketing.,https://rangemarketing.com/cannabis-dispensary-marketing/ | https://rangemarketing.com/contact/ | https://amplifydispensary.com/,505,"Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed",Y
Jane Technologies,Pure Ohio Wellness,Ecommerce / embedded menu integration,Ohio — current Pure Ohio Wellness menu,Current — live storefront evidence,"Jane hosts Pure Ohio Wellness's current embedded ecommerce menu, confirming an active Ohio operator deployment.",https://www.iheartjane.com/dispensaries/united-states/ohio/cincinnati | https://www.iheartjane.com/embed/stores/6053/menu | https://www.iheartjane.com/business/ecommerce | https://dm-sdk-docs.iheartjane.com/ | https://www.iheartjane.com/privacy-policy,203,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15 | Pass 1 research (round 3), 2026-08-16; source pages retrieved and reviewed | Technology audit, 2026-08-22; source pages retrieved and reviewed | Technology outreach enrichment, 2026-08-23; form-only intake verified",Y
Green Flower,Kent State University — Cannabis Education,Education-program partnership / curriculum delivery,Ohio / online,Current — first-party disclosed,Kent State's November 2025 announcement says it launched six online Cannabis Career Certificate programs in partnership with Green Flower to meet Ohio workforce demand.,https://www.green-flower.com/businesses/required-vendor-training/ohio-dispensary-foundation-training-oh-dft/ | https://green-flower.com/meet-with-us/ | https://cannabiseducation.kent.edu/resource-center/ | https://codes.ohio.gov/ohio-administrative-code/chapter-1301%3A18-3 | https://www.icemiller.com/thought-leadership/attention-cannabis-operators-ohios-dcc-issues-employee-training-guidance-turning-a-broad-rule-into-a-defined-compliance-obligation | https://www.kent.edu/today/news/kent-state-university-expands-partnership-green-flower-adding-new-suite-online-cannabis | https://cannabis.zanestate.edu/request-info/,418,,
Green Flower,Zane State College — Cannabis Certificate Programs,Education-program partnership / curriculum delivery,Ohio / online,Current — first-party disclosed,Zane State's current program intake identifies Green Flower as its partner and routes certificate-program communications and technical support through Green Flower.,https://www.green-flower.com/businesses/required-vendor-training/ohio-dispensary-foundation-training-oh-dft/ | https://green-flower.com/meet-with-us/ | https://cannabiseducation.kent.edu/resource-center/ | https://codes.ohio.gov/ohio-administrative-code/chapter-1301%3A18-3 | https://www.icemiller.com/thought-leadership/attention-cannabis-operators-ohios-dcc-issues-employee-training-guidance-turning-a-broad-rule-into-a-defined-compliance-obligation | https://www.kent.edu/today/news/kent-state-university-expands-partnership-green-flower-adding-new-suite-online-cannabis | https://cannabis.zanestate.edu/request-info/,418,,
Klutch Cannabis,"Culture Retail Partners of Ohio, Inc. / Culture Cannabis Club",M&A / dispensary-license transfer,"Grandview / 1305 Holly Ave, Columbus, Ohio",DCC-approved; announced 2026-09-01; grand opening scheduled 2026-09-11,"Klutch announced DCC approval to acquire Culture Cannabis Club's Grandview dispensary, making it Klutch's second Columbus retail location. Culture's Akron storefront is unchanged.",https://www.klutchcannabis.com/ | https://www.klutchcannabis.com/blog/klutch-cannabis-to-rebrand-dispensaries-and-launch-cookies-products-in-january-2025/ | https://www.klutchcannabis.com/contact/ | https://www.prnewswire.com/news-releases/klutch-cannabis-announces-acquisition-of-second-columbus-dispensary-in-grandview-relocation-of-tallmadge-store-to-new-flagship-location-in-akron-302866476.html | https://www.klutchcannabis.com/grandview-dispensary/,90,,
